winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5
1,2,1,1,1,1,2,11,1,2,3,0,92,40,69,119,141,5,0,0,1,1,114,67,43,16,51
1,1,1,1,0,1,1,10,4,0,2,1,51,122,17,498,19,2,0,0,0,0,11,67,238,51,420
1,2,1,1,1,2,0,8,1,1,1,0,117,40,29,16,53,2,0,0,1,0,157,238,121,57,28
1,1,1,1,1,1,0,9,2,1,2,0,238,67,516,114,31,0,0,0,0,0,164,18,141,40,51
1,2,1,1,1,1,0,9,2,1,3,0,90,64,412,25,31,3,0,0,1,0,86,11,201,122,18
1,2,2,1,1,2,0,8,1,1,1,0,117,6,238,122,105,6,0,0,3,0,119,134,154,63,31
1,1,2,1,1,1,1,10,2,1,2,1,157,11,141,32,35,2,0,0,0,0,75,42,31,40,429
1,1,1,0,0,2,1,6,0,0,0,1,117,19,157,29,18,0,0,0,2,0,157,38,122,40,238
2,2,2,2,0,2,2,0,0,0,0,0,154,117,31,126,157,8,1,0,2,1,28,51,53,157,40
2,2,2,2,2,2,0,10,1,0,2,0,31,238,141,17,119,8,3,1,2,0,64,141,84,67,53
2,2,2,2,2,2,2,0,0,0,1,0,114,40,31,67,157,10,2,1,1,1,19,74,122,59,412
1,1,2,1,0,2,1,10,1,0,0,1,45,92,31,141,119,2,0,0,2,0,103,154,412,6,64
1,1,1,0,1,2,1,6,0,1,2,1,157,99,164,51,85,3,0,0,1,0,143,64,254,53,122
1,2,2,1,0,1,0,7,1,0,1,0,31,412,79,141,420,3,0,0,2,0,154,498,117,141,19
2,2,2,1,1,2,0,8,1,1,2,0,238,11,1,122,63,9,2,0,2,0,31,67,202,53,119
1,2,1,1,0,1,0,7,1,0,2,0,31,7,80,90,29,0,0,0,0,0,53,117,141,122,157
2,2,2,2,2,2,0,3,0,0,1,0,516,122,3,31,8,9,3,2,4,0,18,134,53,420,29
1,2,1,1,1,1,1,11,6,1,2,1,141,134,150,16,117,2,0,0,0,0,141,1,11,29,122
2,1,2,2,0,2,0,0,0,0,0,0,90,67,31,7,18,11,3,0,2,0,31,141,119,122,238
2,1,2,2,2,1,1,4,0,0,3,1,8,29,113,154,31,11,2,1,1,0,117,54,113,157,40
2,1,1,1,2,1,2,5,1,0,1,0,141,6,154,157,69,11,3,1,2,1,31,20,157,57,6
2,1,2,2,2,1,0,2,0,0,1,0,245,150,31,53,3,9,1,1,2,0,11,122,141,114,67
2,1,2,2,0,2,0,2,0,0,0,0,29,119,61,238,51,10,2,0,2,0,154,61,119,113,57
1,1,1,1,1,1,1,11,3,1,3,1,96,18,38,117,28,2,0,0,0,0,31,96,29,157,516
2,2,2,2,0,1,0,2,0,0,1,0,157,17,245,51,53,11,3,0,0,0,24,11,91,51,53
2,2,2,2,0,2,1,2,0,0,0,1,48,119,92,157,51,10,2,0,3,0,11,17,74,157,105
2,2,2,1,1,2,2,10,3,1,2,0,141,57,17,117,238,10,2,1,3,1,119,113,117,150,238
2,2,2,0,0,2,0,0,0,0,0,0,6,238,105,122,16,5,0,0,2,0,113,55,40,18,114
2,1,2,2,2,2,2,4,0,0,1,0,53,18,29,24,75,7,2,1,3,1,72,91,16,75,31
1,1,1,1,1,1,1,10,3,1,2,1,154,254,3,134,34,2,0,0,1,0,64,121,238,117,7
2,2,1,2,2,1,1,4,0,0,2,1,40,33,113,18,79,9,1,1,0,0,429,53,18,57,40
1,1,1,1,2,1,0,9,2,0,2,0,61,157,154,119,83,0,0,1,0,0,92,40,64,79,105
1,1,1,1,2,1,0,10,2,0,2,0,31,113,117,141,412,1,0,1,1,0,38,57,29,119,31
1,1,2,2,2,2,0,11,3,1,2,0,51,141,18,114,134,7,1,1,3,0,516,157,11,75,31
2,1,1,2,2,1,1,3,0,0,3,1,67,122,136,24,157,11,3,1,1,0,141,53,31,17,11
2,2,2,2,0,2,0,1,0,0,0,0,117,31,238,67,79,11,3,0,1,0,19,40,59,29,18
2,2,2,2,0,2,0,2,0,0,0,0,19,53,63,6,114,10,2,0,2,0,154,157,119,117,29
1,1,1,1,0,1,0,10,2,0,2,0,92,122,236,157,53,0,0,0,1,0,51,238,516,154,59
1,2,1,1,0,1,0,10,2,0,4,0,114,119,25,29,238,3,0,0,0,0,157,53,105,238,420
1,2,1,1,0,1,1,8,1,0,2,1,157,60,19,122,40,0,0,0,0,0,75,7,29,238,61
2,2,1,2,2,1,2,5,0,0,3,0,122,40,8,238,90,10,1,2,1,1,117,157,119,40,55
2,2,2,2,0,2,2,0,0,0,0,0,516,21,89,23,157,11,3,0,1,1,23,516,238,117,114
1,2,1,1,1,1,1,8,1,1,2,1,55,117,412,18,40,4,0,0,1,0,40,429,113,117,29
2,2,2,2,0,2,0,0,0,0,0,0,119,91,38,40,57,6,1,0,1,0,18,157,105,19,122
2,1,2,1,1,1,1,6,3,1,2,1,157,22,18,80,40,8,1,1,1,0,55,114,31,57,81
1,1,2,1,0,2,0,9,2,0,2,0,119,498,92,6,122,2,0,0,1,0,157,53,113,23,238
1,1,2,1,2,2,2,8,2,1,1,0,141,31,117,103,64,2,0,1,1,1,8,497,38,16,150
2,2,2,2,0,2,1,2,0,0,0,1,141,75,64,35,51,8,2,0,2,0,119,40,75,105,33
2,2,1,2,2,2,2,4,0,0,0,0,516,16,53,84,154,9,2,1,3,1,516,75,119,238,157
2,2,2,1,1,1,2,7,1,1,2,0,18,114,238,29,119,9,1,1,1,1,86,31,105,498,141
2,1,1,2,1,1,1,5,1,1,4,1,74,157,412,18,40,11,4,1,1,0,122,53,96,114,238
1,1,1,1,0,1,0,9,2,0,1,0,96,154,126,-1,79,1,0,0,0,0,31,59,29,60,3
2,2,2,2,2,2,2,1,0,0,0,0,59,96,516,498,60,7,1,1,2,1,53,60,29,31,113
1,1,1,1,0,1,1,11,4,0,3,1,59,99,122,157,67,0,0,0,0,0,43,86,67,122,102
2,1,2,2,1,1,2,4,0,1,1,0,1,103,157,122,119,7,1,0,2,1,114,51,64,122,131
1,1,1,1,0,2,0,11,3,0,1,0,31,40,154,21,119,1,0,0,1,0,53,6,18,498,11
2,2,2,2,2,2,2,1,0,0,0,0,141,61,133,53,154,9,1,1,2,1,38,119,105,157,238
1,1,1,1,1,2,1,9,2,1,1,1,154,105,7,92,141,0,0,0,1,0,7,157,141,119,114
2,2,2,2,0,2,0,1,0,0,0,0,53,84,119,31,157,9,2,0,2,0,201,122,57,18,25
1,1,1,1,1,1,0,7,1,1,2,0,18,141,40,119,134,2,0,0,0,0,267,53,157,63,238
1,1,2,1,1,1,1,11,4,1,3,1,38,29,57,16,40,1,0,0,0,0,53,31,497,61,38
1,1,1,1,0,1,1,10,2,0,2,1,16,154,114,157,53,0,0,0,0,0,90,19,150,63,238
2,2,2,2,2,2,2,0,0,0,0,0,114,40,64,121,21,10,3,1,3,1,29,154,119,57,31
2,2,2,2,0,1,1,4,0,0,2,1,31,201,39,37,92,8,1,0,2,0,119,63,105,141,21
2,0,0,0,0,0,0,0,0,0,0,0,105,154,67,114,498,0,0,0,0,0,157,7,114,154,8
1,1,1,0,0,1,1,4,0,0,1,1,22,57,157,103,120,0,0,0,0,0,157,6,238,105,53
1,1,1,1,0,2,0,10,2,0,3,0,40,154,18,238,161,2,0,0,1,0,91,53,29,113,75
1,2,1,1,1,2,2,10,3,2,2,0,157,23,51,103,53,4,0,0,3,1,122,31,23,40,238
2,1,2,2,2,2,0,1,0,0,0,0,64,31,143,67,29,7,1,1,2,0,157,38,203,40,19
1,2,1,1,1,1,0,11,3,1,1,0,154,122,238,21,55,1,0,0,0,0,37,38,41,53,154
2,1,2,2,2,2,2,1,0,0,0,0,157,31,67,122,86,11,3,1,2,1,114,122,238,412,51
2,1,2,2,2,2,2,4,0,0,0,0,157,164,75,69,238,10,2,1,4,1,134,75,154,119,238
1,2,1,1,1,2,1,9,2,1,1,1,57,31,113,202,40,1,0,0,1,0,113,61,96,55,154
1,1,1,1,1,1,1,11,3,1,3,1,105,122,80,31,53,1,0,0,0,0,157,67,105,122,89
2,1,2,2,2,2,0,6,0,0,0,0,122,412,238,92,23,10,2,1,3,0,18,11,55,157,154
1,2,1,0,0,2,0,1,0,0,1,0,150,67,238,51,121,2,0,0,1,0,114,28,53,61,96
1,2,2,2,1,1,0,9,1,2,3,0,119,122,11,53,141,8,1,0,2,0,1,119,23,67,53
1,1,1,0,0,0,0,4,0,0,0,0,114,18,412,141,117,1,0,0,0,0,40,57,141,429,119
2,1,1,2,1,1,1,5,0,1,4,1,122,53,51,11,105,10,1,0,1,0,238,157,34,67,39
1,2,1,1,1,1,1,11,3,1,3,1,45,202,122,141,53,1,0,0,1,0,58,157,53,119,141
1,2,2,1,1,1,2,5,1,1,2,0,119,35,53,157,28,4,0,0,0,1,238,64,134,157,11
1,2,1,1,1,1,2,10,2,1,1,0,117,157,31,238,141,1,0,0,0,1,24,31,29,75,105
1,1,0,0,0,0,0,0,0,0,0,0,86,113,24,222,7,0,0,0,0,0,11,238,86,157,31
2,2,2,2,2,2,2,0,0,0,0,0,122,19,51,103,238,8,2,1,3,1,17,154,1,53,42
1,1,1,0,0,2,0,3,0,0,0,0,33,113,150,51,516,1,0,0,1,0,117,40,103,35,154
2,2,2,2,0,1,0,2,0,0,1,0,31,141,119,34,38,5,1,0,1,0,119,57,114,141,7
